Region,Sensory
belt_sm,0
PFCorb,0
14,0
14O,0
14r,0
OFap,0
OFO,0
ProM#2,0
Gu,1
13,0
13L,0
13M,0
13a,0
32,0
FD#1,0
10,0
10m,0
10v,0
10d,0
10o,0
12,0
12o,0
12m,0
12r,0
12l,0
11,0
11l,0
11m,0
9,0
L9,0
M9,0
D9,0
46,0
46v,0
46d,0
PS,0
46f,0
46vr,0
46dr,0
9/46v,0
9/46d,0
8,0
FEF,0
45,0
45A,0
45B,0
8A,0
8Ad,0
8Ac,0
8B,0
6#1,0
6V,0
F5,0
PrCO,0
6Vb,0
6Va,0
F4,0
44,0
6b-beta,0
6D,0
F7,0
F2,0
6M,0
F3,0
SMAr,0
SMAc,0
M2-HL,0
M2-FL,0
F6,0
M1,0
M1-FL,0
MI-of,0
4b,0
4a,0
M1-HL,0
S1,1
PC#1,1
1#1,0
2#1,0
3#1,0
3b,0
3a,0
S2,1
SII-f,0
belt_s,1
PR#4,0
7#1,0
PFop,0
PP,0
PGop,0
IPL,0
7a,0
PG#1,0
Opt,0
7b,0
PFG#1,0
PF#1,0
LIP,0
LIPe,0
LIPi,0
VIP,0
PIP#1,0
AIP,0
MIP,0
SPL,0
PEm,0
PEc#1,0
PGm,0
31,0
PECg,0
24,0
24c,0
24d,0
24b,0
24a,0
23,0
23c,0
23b,0
TSA,1
23a,0
26,0
29,0
CML,0
29d,0
29a-c,0
30,0
25,0
Ig#1,0
Ri#1,0
IPro,0
Pi#1,0
Idg,0
Ia#2,0
Ial,0
Iam,0
Iapm,0
Iai,0
TF,0
TFM,0
TFL,0
Per#1,0
35,0
36,0
36c,0
36r,0
TG,0
TPPro,0
TPag,0
TPg,0
TPproD,0
TPdgv,0
TPdgd,0
36p,0
PHC,0
ENT,0
EL,0
ELr,0
ELc,0
EI,0
ER#1,0
28m,0
EO,1
ECL,0
EC#2,0
S#1,0
Su#2,0
Sb,0
Pros.,0
PaS,0
TH,0
PrS,0
Hip,0
CA1,0
DG,0
CA3,0
STG,0
A1,1
STPg,0
A2,1
Pa#2,1
ProK,1
paAc,1
paAlt,1
L#1,1
CL#4,1
AL#4,1
TA,0
ST3,0
ST2,0
ST1,0
Tpt,0
TE,0
20,0
AITv,0
CIT,0
CITd,0
CITv,0
21,0
AITd,0
TEa#3,0
TEm,0
PIT,0
PITd,0
PITv,0
STS,0
STSd,0
TPO,0
TPOc,0
TPOi,0
TPOr,0
TAa,0
PGa,0
IPa,0
OAa,0
MT,0
MTp,0
FST,0
MST,0
MSTp,0
MSTd,0
OA,0
V3A,1
V3,1
V3d,1
V3v,1
V4,1
V4t,0
V4d,1
DLr,1
DLc,1
V4v,1
VPP,0
DI#1,1
PO#4,1
V6A,1
V6,1
DP,0
VOT,0
V1,1
ProSt,0
V2,1
