Region,Sensory
Posterior parietal association areas,0
Anterior cingulate area,0
Infralimbic area,0
Agranular insular area,0
Accessory olfactory bulb,1
Anterior olfactory nucleus,1
Retrosplenial area,0
Primary somatosensory area,1
Ammon's horn,0
Supplemental somatosensory area,1
Primary visual area,1
Anteromedial visual area,1
Anterolateral visual area,1
Lateral visual area,1
Posterolateral visual area,1
Main olfactory bulb,1
posteromedial visual area,1
Temporal association areas,0
Postpiriform transition area,0
Taenia tecta,0
Cortical amygdalar area,0
Visceral area,0
Cortical subplate,0
Orbital area,0
Dentate gyrus,0
Retrohippocampal region,0
Ectorhinal area,0
Piriform area,0
Primary motor area,0
Secondary motor area,0
Primary auditory area,1
Dorsal auditory area,1
Ventral auditory area,1
Gustatory areas,1
preoptic telencephalon,0
terminal hypothalamus (rostral hypothalamus),0
subpallial septum,0
paraseptal subpallium,0
diagonal domain,0
pallidum (globus pallidus complex),0
periventricular stratum of Str,0
intermediate stratum of Str,0
subpallial amygdala,0
peduncular (caudal) hypothalamus,0
prosomere 3,0
prosomere 2,0
prosomere 1,0
mesomere 1,0
isthmus,0
cerebellar vermis,0
rhombomere 1,0
cerebellar hemisphere,0
rhombomere 2,0
pontine hindbrain,0
pontomedullary hindbrain,0
medullary hindbrain (medulla),0
Posterior parietal association areas,0
Anterior cingulate area,0
Infralimbic area,0
Agranular insular area,0
Accessory olfactory bulb,1
Anterior olfactory nucleus,1
Retrosplenial area,0
Primary somatosensory area,1
Ammon's horn,0
Supplemental somatosensory area,1
Primary visual area,1
Anteromedial visual area,1
Anterolateral visual area,1
Lateral visual area,1
Posterolateral visual area,1
Main olfactory bulb,1
posteromedial visual area,1
Temporal association areas,0
Postpiriform transition area,0
Taenia tecta,0
Cortical amygdalar area,0
Visceral area,0
Cortical subplate,0
Orbital area,0
Dentate gyrus,0
Retrohippocampal region,0
Ectorhinal area,0
Piriform area,0
Primary motor area,0
Secondary motor area,0
Primary auditory area,1
Dorsal auditory area,1
Ventral auditory area,1
Gustatory areas,1
preoptic telencephalon,0
terminal hypothalamus (rostral hypothalamus),0
subpallial septum,0
paraseptal subpallium,0
diagonal domain,0
pallidum (globus pallidus complex),0
periventricular stratum of Str,0
intermediate stratum of Str,0
subpallial amygdala,0
peduncular (caudal) hypothalamus,0
prosomere 3,0
prosomere 2,0
prosomere 1,0
mesomere 1,0
isthmus,0
cerebellar vermis,0
rhombomere 1,0
cerebellar hemisphere,0
rhombomere 2,0
pontine hindbrain,0
pontomedullary hindbrain,0
medullary hindbrain (medulla),0
