Region,Sensory
MOp,0
MOs,0
SSp,1
SSs,1
VISC,0
ILA,0
GU,1
MOB,1
AOB,1
AON,1
TTd,0
TTv,0
PIR,0
TR,0
PAA,0
NLOT,1
COAa,0
COApl,0
COApm,0
AUDp,1
AUDd,1
AUDv,1
VISlla,1
VISal,1
VISam,1
VISli,1
VISll,1
VISlm,1
VISpl,1
VISp,1
VISrl,1
ACAd,0
ACAv,0
PL,0
ORBl,0
ORBm,0
ORBv,0
ORBvl,0
AId,0
AIv,0
AIp,0
RSPd,0
RSPagl,0
RSPv,0
RSPv-a,0
RSPv-bc,0
PTLp,0
TEa,0
ECT,0
PERI,0
ENTl,0
ENTm,0
ENTmv,0
PRE,0
POST,0
PAR,0
SUBd,0
SUBv,0
CA1d,0
CA1v,0
CA2,0
CA3,0
DG,0
IG,0
CLA,0
EPd,0
EPv,0
LA,0
BLAa,0
BLAp,0
BMAa,0
BMAp,0
PA,0
